area_fips,county,state,population,num_uninsured_total,pct_uninsured_total,september_employment_selected_industries,september_jobs_per_thousand_selected_industries,september_employment_lq_selected_industries
40031,Comanche County,Oklahoma,122561,14482,15,5427,130,1.05
40041,Delaware County,Oklahoma,42112,7602,23.9,1282,140,1.13
40065,Jackson County,Oklahoma,25384,3451,16.6,1347,141,1.14
40119,Payne County,Oklahoma,81512,10508,16.4,5542,167,1.35
40125,Pottawatomie County,Oklahoma,72000,9678,16.7,3003,133,1.07
45013,Beaufort County,South Carolina,182658,20295,15.3,16766,244,1.96
45019,Charleston County,South Carolina,394708,44469,13.5,45246,175,1.41
45041,Florence County,South Carolina,138561,12940,11.5,8485,128,1.03
45051,Horry County,South Carolina,320915,43983,17.4,39423,292,2.35
45075,Orangeburg County,South Carolina,88454,9353,13.9,3717,130,1.05
45077,Pickens County,South Carolina,122746,12641,13.1,7084,188,1.52
45091,York County,South Carolina,258641,25038,11.1,13817,137,1.11
46103,Pennington County,South Dakota,109294,10425,11.7,9952,170,1.37
47009,Blount County,Tennessee,128443,10561,10.2,6963,134,1.08
47037,Davidson County,Tennessee,684017,82893,14.2,76513,147,1.19
47065,Hamilton County,Tennessee,357546,32272,11,26752,128,1.03
47105,Loudon County,Tennessee,51610,4920,12.8,2170,132,1.06
47155,Sevier County,Tennessee,96287,12956,16.7,23194,460,3.71
48007,Aransas County,Texas,24763,4078,22.3,1447,260,2.1
48027,Bell County,Texas,342236,40118,13.3,15459,128,1.03
48029,Bexar County,Texas,1925865,285140,16.9,122787,140,1.13
48037,Bowie County,Texas,93858,11910,16.4,5960,143,1.15
48039,Brazoria County,Texas,353999,44276,14.2,14785,127,1.02
48041,Brazos County,Texas,219193,32046,16.9,17054,156,1.26
48061,Cameron County,Texas,421750,104621,29,18119,128,1.03
48091,Comal County,Texas,135097,16543,14.4,10359,172,1.39
48121,Denton County,Texas,807047,96650,12.9,37276,143,1.15
48141,El Paso County,Texas,837654,163112,22.6,41114,131,1.06
48143,Erath County,Texas,41482,7613,23.4,2218,131,1.06
48157,Fort Bend County,Texas,739342,92077,13.5,28078,143,1.16
48167,Galveston County,Texas,327089,43845,15.4,21787,198,1.6
48171,Gillespie County,Texas,26208,4483,23.8,2142,197,1.59
48199,Hardin County,Texas,56379,6687,13.9,1788,140,1.13
