area_fips,county,state,population,pct_uninsured_total,pct_uninsured_138_400_poverty,pct_uninsured_age_50_up,september_employment_selected_industries,total_qtrly_wages_selected_industries,september_employment_all_industries,total_qtrly_wages_all_industries,september_jobs_per_thousand_selected_industries,total_qtrly_wages_lc_selected_industries,september_employment_lq_selected_industries,total_qtrly_wages_lq_selected_industries
56025,Natrona County,Wyoming,80610,14.2,17.5,12.1,4982,26854367,39358,503051054,127,0.05,1.02,0.84
56029,Park County,Wyoming,29121,14,17,11.8,3226,19810677,14670,153517205,220,0.13,1.77,2.04
56033,Sheridan County,Wyoming,30012,13.4,16.4,13.1,1754,9161356,13604,146499093,129,0.06,1.04,0.99
56039,Teton County,Wyoming,23059,16,24.4,10.5,9596,94862551,23107,306202616,415,0.31,3.35,4.89
72031,Carolina Municipio,Puerto Rico,157453,NA,NA,NA,10911,57929806,45590,284941314,239,0.2,1.93,3.21
78030,NA,NA,NA,NA,NA,NA,3464,25075381,18922,230598864,183,0.11,1.48,1.71
21197,Powell County,Kentucky,12321,6.4,6.4,4.8,385,1608606,2679,20056679,144,0.08,1.16,1.26
35031,McKinley County,New Mexico,72849,17.4,17.9,19.1,3093,13102574,21099,185833123,147,0.07,1.18,1.11
51177,Spotsylvania County,Virginia,131412,9.5,12.7,8.4,5065,24110896,35963,369043076,141,0.07,1.14,1.03
06045,Mendocino County,California,87422,10.7,11.8,9.9,4667,26763581,33047,343074619,141,0.08,1.14,1.23
06093,Siskiyou County,California,43540,8.6,9.4,8.3,1854,11048513,14400,150455755,129,0.07,1.04,1.16
12053,Hernando County,Florida,182696,15.8,16.1,16.4,6225,28021777,45147,412293061,138,0.07,1.11,1.07
12055,Highlands County,Florida,102101,18.5,18,16.2,3416,15749601,26917,234462510,127,0.07,1.02,1.06
12089,Nassau County,Florida,80578,12.5,15.2,10.7,5472,37365512,23740,239727360,230,0.16,1.86,2.46
12131,Walton County,Florida,65858,17.6,20.8,13.8,7220,62733382,27386,281596001,264,0.22,2.12,3.51
13039,Camden County,Georgia,52714,13.5,13.9,12.3,1921,8351939,14257,155859405,135,0.05,1.09,0.85
13127,Glynn County,Georgia,83974,17.4,19,13.6,9064,56930143,38794,444409043,234,0.13,1.88,2.02
17013,Calhoun County,Illinois,4858,6,6.9,5.8,113,230525,739,5016778,153,0.05,1.23,0.72
17085,Jo Daviess County,Illinois,21834,7.1,8.5,6.1,1626,7859154,7352,64433151,221,0.12,1.78,1.92
17133,Monroe County,Illinois,33936,3.7,5.5,3.8,1688,6315005,8366,76589994,202,0.08,1.63,1.3
17179,Tazewell County,Illinois,133852,4.6,6.1,4.5,7373,34049017,47929,511733920,154,0.07,1.24,1.05
21019,Boyd County,Kentucky,48091,5.4,5.8,4.8,3263,13665344,24563,289225851,133,0.05,1.07,0.75
21139,Livingston County,Kentucky,9263,6,6.5,4.6,458,4895443,2719,31776023,168,0.15,1.36,2.43
21143,Lyon County,Kentucky,8186,6.4,7.1,5.6,508,2598983,2597,21107933,196,0.12,1.58,1.94
21145,McCracken County,Kentucky,65284,5.9,7.1,4.6,7360,63211926,39148,433621126,188,0.15,1.52,2.3
21161,Mason County,Kentucky,17153,6.6,7.2,4.8,1109,4081911,8323,83403703,133,0.05,1.07,0.77
22087,St. Bernard Parish,Louisiana,45694,10.2,10.2,9.5,1695,11397720,10184,127659762,166,0.09,1.34,1.41
22121,West Baton Rouge Parish,Louisiana,25860,7.5,9.2,6.2,1542,9911751,12280,165181650,126,0.06,1.01,0.95
23015,Lincoln County,Maine,34067,13.6,15.7,10.3,2567,20903361,11973,114774228,214,0.18,1.73,2.87
24035,Queen Anne's County,Maryland,49355,5.4,8.3,4,3661,21230186,15714,161793973,233,0.13,1.88,2.07
24047,Worcester County,Maryland,51564,7.8,9.8,6.9,11177,92055698,27390,259515303,408,0.35,3.29,5.59
26003,Alger County,Michigan,9194,7.6,8.5,7.1,563,3078407,2676,27463911,210,0.11,1.7,1.77
26027,Cass County,Michigan,51460,7.2,8.5,5.2,1240,4658426,9566,97458236,130,0.05,1.04,0.75
26031,Cheboygan County,Michigan,25458,8.3,8.8,7.9,1791,11455301,6939,61227204,258,0.19,2.08,2.95
26089,Leelanau County,Michigan,21639,8.5,10.7,6.5,1402,11208809,6946,65868661,202,0.17,1.63,2.68
26147,St. Clair County,Michigan,159566,5.9,7.1,4.7,5993,26954907,44911,501778360,133,0.05,1.08,0.85
27021,Cass County,Minnesota,29022,8.3,9.7,7.2,2446,14461498,11168,93590386,219,0.15,1.77,2.44
27031,Cook County,Minnesota,5311,8.4,9.6,8.2,1154,7760376,3191,26888148,362,0.29,2.91,4.55
27071,Koochiching County,Minnesota,12644,7.2,8.2,6.3,667,3130446,4553,52770625,146,0.06,1.18,0.94
27075,Lake County,Minnesota,10569,4.7,5.6,4.2,885,4961412,4309,48796567,205,0.1,1.66,1.6
28001,Adams County,Mississippi,31547,15,14.3,14.3,1998,9131826,10665,92064394,187,0.1,1.51,1.56
28149,Warren County,Mississippi,47075,14.1,14.2,13.2,4189,33527639,19596,226021591,214,0.15,1.72,2.34
29099,Jefferson County,Missouri,223302,10,11.4,8.8,6676,29241311,48197,451954727,139,0.06,1.12,1.02
29141,Morgan County,Missouri,20137,19.3,19,15.1,635,3953902,4424,32757521,144,0.12,1.16,1.9
29209,Stone County,Missouri,31527,14.6,14.5,11.9,2364,16381805,6930,52148984,341,0.31,2.75,4.95
34025,Monmouth County,New Jersey,623387,6.8,12.3,5.1,40199,257187762,265161,3571865477,152,0.07,1.22,1.14
37019,Brunswick County,North Carolina,126860,13.5,15.3,10.8,6649,36761750,33327,329514727,200,0.11,1.61,1.76
37031,Carteret County,North Carolina,68920,12.7,13.9,10.5,5133,29101339,23693,217372639,217,0.13,1.75,2.11
37099,Jackson County,North Carolina,42256,18.2,17.8,15.5,3210,18944010,14550,137276753,221,0.14,1.78,2.18
39043,Erie County,Ohio,75136,6.3,7.4,5,9968,55525464,37794,365161526,264,0.15,2.13,2.4
41009,Columbia County,Oregon,50851,7,8.5,6.3,1699,8762169,11779,117918348,144,0.07,1.16,1.17
41041,Lincoln County,Oregon,47881,10.7,11.9,9,5222,34838162,18862,188996000,277,0.18,2.23,2.91
