area_fips,county,state,population,pct_non_white,pct_uninsured_total,pct_uninsured_138_400_poverty,pct_uninsured_age_50_up,september_employment_selected_industries,september_jobs_per_thousand_selected_industries,september_jobs_pct_total_selected_industries,september_jobs_pct_total_selected_industries_plus_pct_uninsured_total,september_employment_all_industries,september_employment_lq_selected_industries
45013,Beaufort County,South Carolina,182658,32.4,15.3,17.9,10.7,16766,244,24.4,39.7,68809,1.96
48087,Collingsworth County,Texas,2996,37.3,32.7,34.5,26,56,68,6.8,39.5,821,0.55
04005,Coconino County,Arizona,140217,45.9,13.1,14.8,11.4,17006,263,26.3,39.4,64542,2.12
08119,Teller County,Colorado,24113,10.9,8.2,10.3,7.4,2361,312,31.2,39.4,7579,2.51
06043,Mariposa County,California,17540,19.5,8,8.9,7,1860,310,31,39,6005,2.5
25019,Nantucket County,Massachusetts,11101,14.9,4.4,6.3,3.1,3168,345,34.5,38.9,9177,2.78
48021,Bastrop County,Texas,82577,47,21.8,24.1,18.2,3157,169,16.9,38.7,18681,1.36
13123,Gilmer County,Georgia,29922,13.9,22.5,22.3,18,1118,161,16.1,38.6,6933,1.3
41041,Lincoln County,Oregon,47881,17.4,10.7,11.9,9,5222,277,27.7,38.4,18862,2.23
53055,San Juan County,Washington,16473,11.3,9.1,11.3,7.7,1927,291,29.1,38.2,6611,2.35
13111,Fannin County,Georgia,24925,4.9,18.3,18.2,18.2,1331,196,19.6,37.900000000000006,6807,1.58
40041,Delaware County,Oklahoma,42112,36,23.9,23.9,21.4,1282,140,14,37.9,9137,1.13
48323,Maverick County,Texas,57970,97.5,27,26.4,23,1949,109,10.9,37.9,17926,0.88
22057,Lafourche Parish,Louisiana,98214,23.2,11.9,14,11.2,8997,259,25.9,37.8,34775,2.09
16081,Teton County,Idaho,11080,19,16.5,17.3,14.8,820,211,21.1,37.6,3880,1.7
48265,Kerr County,Texas,51365,30.9,22.5,24.8,19.9,2792,151,15.1,37.6,18550,1.21
02060,Bristol Bay Borough,Alaska,890,46.1,17.4,24.1,14.6,283,202,20.2,37.599999999999994,1399,1.63
13187,Lumpkin County,Georgia,31951,9.4,19.9,20,16.6,1361,177,17.7,37.599999999999994,7701,1.42
13311,White County,Georgia,28928,7.6,17.2,17.5,14.7,1897,203,20.3,37.5,9325,1.64
48105,Crockett County,Texas,3633,64.4,22.2,25.1,17.8,223,153,15.3,37.5,1458,1.23
12097,Osceola County,Florida,338619,67.1,16.2,15.9,16.7,21175,212,21.2,37.4,99833,1.71
12086,Miami-Dade County,Florida,2715516,86.6,20,21.4,21,197349,171,17.1,37.1,1157209,1.37
08051,Gunnison County,Colorado,16537,12.8,10.5,12.6,8.1,2364,265,26.5,37,8907,2.14
13133,Greene County,Georgia,16976,43,20.1,22,14,1085,169,16.9,37,6406,1.37
26019,Benzie County,Michigan,17552,6.2,7.4,8.1,6.1,1351,296,29.6,37,4558,2.39
33003,Carroll County,New Hampshire,47840,4.1,9,11.2,8.5,5748,280,28,37,20547,2.25
30009,Carbon County,Montana,10546,5.6,11.7,13.7,9.3,692,251,25.1,36.8,2755,2.02
02220,Sitka City and Borough,Alaska,8738,38.1,18.3,24.1,14.4,866,184,18.4,36.7,4701,1.48
